-------------------------------------------------------
NAV_START | Fri Nov 22 12:21:51 EST 2019 | 12%
CUR_LOC | Fri Nov 22 12:40:08 EST 2019 | 6% | 40.43834487 | -79.96125311 | 3.5m/s | 5768.97m
CUR_LOC | Fri Nov 22 12:40:09 EST 2019 | 6% | 40.4383824 | -79.96122136 | 4.75m/s | 5764.169m
CUR_LOC | Fri Nov 22 12:40:10 EST 2019 | 6% | 40.43843423 | -79.96116527 | 5.75m/s | 5756.7725m
CUR_LOC | Fri Nov 22 12:40:11 EST 2019 | 6% | 40.43851113 | -79.96109697 | 7.0m/s | 5746.733m
CUR_LOC | Fri Nov 22 12:40:12 EST 2019 | 6% | 40.43857007 | -79.96102521 | 8.0m/s | 5737.8228m
CUR_LOC | Fri Nov 22 12:40:13 EST 2019 | 6% | 40.43863078 | -79.96092668 | 9.5m/s | 5727.1045m
CUR_LOC | Fri Nov 22 12:40:14 EST 2019 | 6% | 40.43870024 | -79.96084115 | 10.25m/s | 5716.544m
CUR_LOC | Fri Nov 22 12:40:15 EST 2019 | 6% | 40.43878825 | -79.96073816 | 11.0m/s | 5703.5005m
CUR_LOC | Fri Nov 22 12:40:16 EST 2019 | 6% | 40.43888542 | -79.96063328 | 11.25m/s | 5689.6533m
CUR_LOC | Fri Nov 22 12:40:17 EST 2019 | 6% | 40.43895158 | -79.96052949 | 10.5m/s | 5678.197m
CUR_LOC | Fri Nov 22 12:40:18 EST 2019 | 6% | 40.4390344 | -79.96044135 | 10.0m/s | 5666.473m
CUR_LOC | Fri Nov 22 12:40:19 EST 2019 | 6% | 40.4391099 | -79.96037358 | 10.5m/s | 5656.5747m
CUR_LOC | Fri Nov 22 12:40:20 EST 2019 | 6% | 40.43919838 | -79.96030124 | 10.75m/s | 5645.42m
CUR_LOC | Fri Nov 22 12:40:21 EST 2019 | 6% | 40.43927436 | -79.96019971 | 10.75m/s | 5633.37m
CUR_LOC | Fri Nov 22 12:40:22 EST 2019 | 6% | 40.43932603 | -79.9601188 | 10.25m/s | 5624.431m
CUR_LOC | Fri Nov 22 12:40:23 EST 2019 | 6% | 40.43937581 | -79.96003786 | 10.0m/s | 5615.6323m
CUR_LOC | Fri Nov 22 12:40:24 EST 2019 | 6% | 40.43945448 | -79.95991741 | 11.0m/s | 5602.195m
CUR_LOC | Fri Nov 22 12:40:25 EST 2019 | 6% | 40.43951818 | -79.95987724 | 9.5m/s | 5594.9116m
CUR_LOC | Fri Nov 22 12:40:26 EST 2019 | 6% | 40.43959297 | -79.9597921 | 9.75m/s | 5583.9795m
CUR_LOC | Fri Nov 22 12:40:27 EST 2019 | 6% | 40.43960091 | -79.95971406 | 8.75m/s | 5578.49m
CUR_LOC | Fri Nov 22 12:40:28 EST 2019 | 6% | 40.43958757 | -79.9596387 | 7.25m/s | 5574.7646m
CUR_LOC | Fri Nov 22 12:40:29 EST 2019 | 6% | 40.43966227 | -79.95953144 | 8.75m/s | 5562.451m
CUR_LOC | Fri Nov 22 12:40:30 EST 2019 | 6% | 40.43970343 | -79.95943346 | 8.75m/s | 5553.231m
